Parent,Find,Qty,UOM,PartNumber,Rev,Description,MakeBuy,Material,Remarks
,,1,EA,STA-3100,A,Frameless Stator Assembly,Make,,Wound / Impregnated / Tested
STA-3100,10,1,EA,LAM-3110,B,Stator Lamination Stack Assembly,Make,,
STA-3100,20,1,EA,WND-3112,B,Three-Phase Winding,Make,,Per winding spec
STA-3100,25,AR,LB,WIR-3115,A,Magnet Wire,Buy,Class H Copper,Gauge per winding spec
STA-3100,30,1,EA,INS-3113,A,Slot Insulation Set,Buy,Nomex / Kapton,Class H
STA-3100,40,1,EA,LEA-3240,A,"Leadwire Set, PTFE",Buy,PTFE / Silver-Plated Cu,Cut length per drawing
STA-3100,45,AR,EA,LAC-3117,A,Lacing Cord,Buy,Polyester,Per workmanship std
STA-3100,50,AR,GM,VAR-3114,A,Impregnation Resin,Buy,Class H Varnish,"Record lot, cycle"
LAM-3110,10,120,EA,LAM-3111,A,Electrical Steel Lamination,Buy,M19,Insulated
LAM-3110,20,1,EA,ADH-3112,A,Bonding Epoxy,Buy,High Temp,Bond Stack
,,1,EA,ROT-3120,A,Rotor Assembly,Make,Various,"Balanced / Ground, matched to STA-3100"
ROT-3120,10,1,EA,SHA-3121,A,Rotor Shaft,Make,17-4PH Stainless Steel,Inspect journals and datums
ROT-3120,20,8,EA,MAG-3122,A,Permanent Magnet,Buy,"NdFeB, high-temperature grade",Polarity-controlled matched set
ROT-3120,30,1,EA,SLV-3123,A,Magnet Retention Sleeve,Make/Buy,Nonmagnetic high-strength alloy,Bonded over magnet OD
ROT-3120,40,AR,GM,ADH-3124,A,Magnet Bonding Epoxy,Buy,Structural high-temperature epoxy,"Record lot, mix, cure"
ROT-3120,50,AR,GM,ADH-3125,A,Sleeve Bonding Epoxy,Buy,Structural high-temperature epoxy,"Record lot, mix, cure"
